iter	MultiClass
0	1.097009002
1	1.095366913
2	1.093834261
3	1.092257489
4	1.090827703
5	1.089413896
6	1.088023935
7	1.086698098
8	1.085394554
9	1.084197162
10	1.083023391
11	1.081801556
12	1.080693975
13	1.079615714
14	1.078549014
15	1.077559621
16	1.076563629
17	1.075623409
18	1.074658663
19	1.073767641
20	1.072909968
21	1.072051766
22	1.071170092
23	1.070339098
24	1.069585088
25	1.068808538
26	1.068059577
27	1.067350577
28	1.06671253
29	1.066032697
30	1.065365235
31	1.064725927
32	1.064055909
33	1.063370942
34	1.062821349
35	1.062221578
36	1.061666535
37	1.061093518
38	1.060535198
39	1.060043193
40	1.05954597
41	1.059108673
42	1.05869986
43	1.058256128
44	1.057822648
45	1.057343951
46	1.05694224
47	1.056480083
48	1.056066818
49	1.055722705
50	1.055325694
51	1.054942816
52	1.054600176
53	1.054246034
54	1.053920463
55	1.053569337
56	1.053245517
57	1.052916668
58	1.052593268
59	1.052349579
60	1.052055166
61	1.051753124
62	1.051462132
63	1.05119607
64	1.050928287
65	1.050675387
66	1.050463229
67	1.050186188
68	1.049975899
69	1.049716231
70	1.049492275
71	1.049260259
72	1.049011585
73	1.048772369
74	1.048568793
75	1.048370804
76	1.048149502
77	1.047946199
78	1.047719305
79	1.047536157
80	1.047335863
81	1.047157711
82	1.046952393
83	1.046767831
84	1.046633472
85	1.046466279
86	1.046281018
87	1.046107888
88	1.045925665
89	1.045752793
90	1.045607294
91	1.045442145
92	1.045243717
93	1.045101915
94	1.044934961
95	1.04475431
96	1.04460248
97	1.044431388
98	1.044272429
99	1.044132172
100	1.043996454
101	1.043855355
102	1.043750251
103	1.043627524
104	1.043496701
105	1.043369196
106	1.043228188
107	1.043089469
108	1.042991695
109	1.042879225
110	1.042764752
111	1.042653124
112	1.042556057
113	1.042443813
114	1.042331947
115	1.042228993
116	1.042130834
117	1.041994988
118	1.041916256
119	1.041807748
120	1.041726847
121	1.041620317
122	1.041556149
123	1.04145999
124	1.041383919
125	1.041305259
126	1.041214322
127	1.041136121
128	1.041073418
129	1.04098087
130	1.04090648
131	1.040828778
132	1.040740159
133	1.040654683
134	1.040554699
135	1.040474578
136	1.040387721
137	1.040298599
138	1.040198479
139	1.040134684
140	1.040036407
141	1.039959941
142	1.039883548
143	1.039808908
144	1.039727787
145	1.03965515
146	1.039569578
