iter	Passed	Remaining
0	116	116475
1	236	118166
2	380	126324
3	515	128345
4	650	129445
5	772	127962
6	902	127998
7	1047	129951
8	1177	129649
9	1302	128945
10	1443	129748
11	1570	129296
12	1726	131097
13	1875	132062
14	2019	132597
15	2202	135439
16	2345	135633
17	2495	136168
18	2615	135055
19	2750	134755
20	2882	134374
21	3015	134052
22	3141	133424
23	3311	134682
24	3426	133633
25	3544	132784
26	3677	132529
27	3798	131866
28	3927	131501
29	4054	131108
30	4176	130555
31	4308	130323
32	4463	130808
33	4597	130613
34	4712	129933
35	4836	129505
36	4973	129456
37	5096	129029
38	5211	128413
39	5329	127913
40	5465	127830
41	5606	127886
42	5737	127690
43	5850	127124
44	5988	127090
45	6117	126877
46	6240	126528
47	6354	126033
48	6469	125561
49	6614	125670
50	6741	125448
51	6872	125292
52	6994	124983
53	7105	124485
54	7225	124146
55	7344	123805
56	7467	123547
57	7589	123264
58	7723	123190
59	7907	123890
60	8065	124153
61	8193	123963
62	8325	123819
63	8452	123610
64	8573	123323
65	8705	123194
66	8849	123238
67	8965	122878
68	9091	122674
69	9205	122304
70	9333	122121
71	9441	121692
72	9574	121587
73	9709	121496
74	9818	121098
75	9965	121155
76	10091	120961
77	10215	120754
78	10318	120294
79	10445	120123
80	10556	119768
81	10663	119379
82	10769	118985
83	10885	118704
84	11021	118646
85	11143	118427
86	11265	118224
87	11387	118013
88	11521	117936
89	11642	117721
90	11741	117283
91	11856	117021
92	11972	116766
93	12093	116556
94	12221	116421
95	12344	116242
96	12447	115876
97	12559	115594
98	12668	115294
99	12790	115113
100	12901	114838
101	13010	114539
102	13135	114397
103	13272	114346
104	13384	114087
105	13502	113881
106	13625	113716
107	13720	113321
108	13850	113219
109	13966	113004
110	14084	112802
111	14189	112504
112	14342	112585
113	14450	112308
114	14576	112172
115	14690	111952
116	14790	111623
117	14897	111351
118	15017	111179
119	15140	111033
120	15258	110843
121	15355	110511
122	15506	110564
123	15614	110310
124	15747	110232
125	15855	109981
126	15975	109814
127	16103	109702
128	16224	109545
129	16347	109403
130	16472	109273
131	16620	109290
132	16740	109127
133	16863	108983
134	16975	108768
135	17070	108449
136	17192	108301
137	17308	108113
138	17413	107862
139	17528	107675
140	17645	107499
141	17750	107254
142	17872	107107
143	17993	106961
144	18110	106790
145	18230	106637
146	18350	106481
147	18477	106368
148	18581	106123
149	18700	105971
150	18843	105949
151	18964	105803
152	19083	105644
153	19180	105367
154	19303	105235
155	19428	105111
156	19532	104880
157	19639	104660
158	19748	104457
159	19871	104327
160	20003	104244
161	20125	104103
162	20232	103893
163	20345	103711
164	20468	103582
165	20575	103372
166	20686	103182
167	20800	103013
168	20907	102804
169	21038	102717
170	21155	102559
171	21273	102411
172	21386	102234
173	21491	102024
174	21589	101779
175	21699	101591
176	21800	101365
177	21909	101176
178	22034	101064
179	22157	100941
180	22278	100808
181	22386	100615
182	22490	100406
183	22615	100296
184	22721	100098
185	22835	99936
186	22958	99814
187	23073	99655
188	23191	99513
189	23314	99391
190	23437	99270
191	23551	99111
192	23644	98867
193	23746	98658
194	23857	98489
195	23966	98313
196	24072	98123
197	24190	97983
198	24328	97926
199	24445	97782
200	24556	97614
201	24663	97434
202	24789	97325
203	24901	97165
204	25008	96985
205	25106	96770
206	25204	96557
207	25322	96420
208	25444	96301
209	25569	96188
210	25671	95994
211	25784	95841
212	25893	95671
213	26004	95511
214	26117	95358
215	26215	95152
216	26304	94914
217	26408	94732
218	26533	94625
219	26676	94578
220	26773	94374
221	26880	94204
222	26986	94029
223	27098	93877
224	27210	93723
225	27308	93524
226	27425	93392
227	27576	93371
228	27677	93185
229	27799	93067
230	27905	92897
231	28006	92710
232	28112	92540
233	28208	92339
234	28333	92235
235	28439	92065
236	28539	91879
237	28674	91806
238	28795	91687
239	28906	91536
240	29029	91424
241	29139	91271
242	29238	91084
243	29339	90903
244	29461	90789
245	29577	90654
246	29713	90584
247	29852	90521
248	29966	90379
249	30069	90208
250	30170	90030
251	30278	89873
252	30396	89746
253	30511	89611
254	30614	89443
255	30735	89325
256	30834	89143
257	30979	89095
258	31086	88938
259	31200	88802
260	31326	88697
261	31434	88545
262	31564	88452
263	31689	88346
264	31808	88224
265	31923	88089
266	32079	88067
267	32184	87905
268	32284	87733
269	32385	87560
270	32499	87426
271	32614	87291
272	32730	87162
273	32830	86989
274	32944	86852
275	33047	86688
276	33178	86600
277	33355	86628
278	33496	86562
279	33621	86456
280	33739	86330
281	33866	86227
282	33969	86065
283	34072	85901
284	34191	85778
285	34319	85679
286	34432	85541
287	34556	85430
288	34648	85242
289	34748	85074
290	34865	84946
291	34983	84824
292	35096	84687
293	35217	84568
294	35346	84473
295	35484	84395
296	35619	84310
297	35739	84191
298	35868	84092
299	36011	84025
300	36135	83916
301	36236	83752
302	36380	83687
303	36527	83627
304	36636	83483
305	36739	83323
306	36849	83181
307	36983	83093
308	37106	82979
309	37215	82834
310	37329	82700
311	37459	82602
312	37605	82539
313	37734	82438
314	37860	82331
315	37968	82185
316	38082	82050
317	38217	81962
318	38325	81816
319	38433	81670
320	38531	81504
321	38675	81435
322	38805	81336
323	38921	81205
324	39042	81088
325	39162	80966
326	39289	80862
327	39407	80737
328	39511	80584
329	39611	80423
330	39723	80286
331	39848	80177
332	39959	80038
333	40067	79895
334	40192	79784
335	40305	79650
336	40433	79546
337	40538	79397
338	40651	79265
339	40764	79131
340	40885	79013
341	40997	78877
342	41100	78726
343	41215	78596
344	41326	78460
345	41430	78311
346	41555	78200
347	41668	78068
348	41795	77962
349	41915	77842
350	42047	77746
351	42156	77607
352	42265	77466
353	42370	77319
354	42482	77185
355	42596	77057
356	42690	76891
357	42814	76778
358	42945	76678
359	43085	76595
360	43186	76443
361	43299	76311
362	43398	76156
363	43495	75997
364	43620	75888
365	43734	75758
366	43865	75659
367	43985	75540
368	44108	75427
369	44276	75389
370	44425	75319
371	44592	75280
372	44744	75213
373	44865	75095
374	44988	74980
375	45115	74873
376	45241	74762
377	45383	74679
378	45496	74547
379	45622	74437
380	45754	74336
381	45871	74211
382	45985	74081
383	46094	73943
384	46200	73801
385	46311	73666
386	46462	73595
387	46590	73487
388	46709	73365
389	46840	73263
390	46955	73135
391	47066	73000
