feature,importance
day_progress,8365763.224365234
range_x_vol10,5653257.281589508
volatility_10,2348277.2037849426
range_norm,1440480.2037467957
volatility_20,1337848.8099212646
mkt_vol_lag1,959313.6304779053
hour,734343.1115531921
rsi_x_vol20,669249.6236610413
minute,499528.2081413269
price_ma_20_ratio,429160.1509170532
mkt_ret_lag1,405880.7603149414
macd_line,385622.1184616089
macd_signal,378851.61851882935
vol_trend,321331.25734710693
vol_spike,308840.7391586304
price_ma_10_ratio,276902.22286224365
upper_shadow,262879.2040977478
macd_hist,241945.3570137024
rel_mom_5,241024.5399055481
volatility_5,238326.5986251831
ma_diff_ma_10_ma_20,224244.99504470825
rsi_14,215127.71745300293
range_vol_ratio,207397.9644432068
mom10_x_vol20,197878.60369110107
is_close_session,182176.11250305176
vol_change_pct,177888.3108329773
ret_3,172416.8411178589
lower_shadow,171130.93312835693
ma_diff_ma_5_ma_10,168216.05110168457
day_of_week,168046.56356430054
ret_10,157967.71152496338
ret_lag2,151858.9547958374
ret_1,151351.20196533203
price_ma_5_ratio,146096.8021888733
rel_strength,140467.46997451782
ret_lag3,140296.47681045532
volspike_x_mom5,135087.4490966797
body_norm,133750.6291656494
ret_lag1,132952.5605430603
ret_5,129375.12125015259
mom5_x_vol10,115421.41358184814
rsi_14_norm,68762.30528640747
mom_3,44844.35149383545
mom_10,43627.706256866455
mom_5,34794.108085632324
roc_10,14495.492164611816
is_open_session,11070.650508880615
roc_3,9172.927680969238
roc_5,7625.248092651367
