threshold,precision,recall,f1,n_signals,signal_density_pct,tp,fp
0.4,0.1093,0.7294,0.1901,270742,31.141,29584,241158
0.42,0.1145,0.7062,0.1971,250098,28.766,28644,221454
0.44,0.12,0.6826,0.2041,230724,26.538,27686,203038
0.46,0.1257,0.6581,0.211,212395,24.43,26691,185704
0.48,0.1315,0.6318,0.2176,194934,22.421,25627,169307
0.5,0.1381,0.6073,0.225,178359,20.515,24631,153728
0.52,0.1454,0.5834,0.2328,162757,18.72,23663,139094
0.54,0.153,0.5581,0.2402,147919,17.014,22635,125284
0.56,0.1607,0.5323,0.2469,134339,15.452,21591,112748
0.58,0.1695,0.5086,0.2542,121746,14.003,20630,101116
0.6,0.1781,0.4832,0.2603,110061,12.659,19600,90461
0.62,0.1873,0.458,0.2659,99189,11.409,18577,80612
0.64,0.1968,0.434,0.2708,89431,10.286,17603,71828
0.66,0.207,0.411,0.2753,80544,9.264,16671,63873
0.68,0.2174,0.3884,0.2788,72466,8.335,15754,56712
0.7,0.2278,0.3667,0.281,65277,7.508,14872,50405
0.72,0.2381,0.3463,0.2822,58994,6.786,14047,44947
0.74,0.2473,0.3266,0.2814,53565,6.161,13245,40320
0.76,0.2563,0.3086,0.2801,48836,5.617,12518,36318
0.78,0.2634,0.2904,0.2762,44704,5.142,11777,32927
0.8,0.2698,0.2745,0.2721,41266,4.746,11133,30133
