date,cumulative_pnl_inr
2021-03-30,305.32
2021-03-31,-153.45
2021-04-01,211.36999999999995
2021-04-05,-166.16000000000003
2021-04-06,710.74
2021-04-08,1083.8200000000002
2021-04-09,462.84000000000015
2021-04-12,238.19000000000014
2021-04-13,-282.8799999999999
2021-04-15,-506.7499999999999
2021-04-16,-1155.29
2021-04-19,-2016.1599999999999
2021-04-20,-2255.66
2021-04-22,-2393.0899999999997
2021-04-23,-3260.7699999999995
2021-04-26,-3547.5699999999997
2021-04-27,-3341.87
2021-04-28,-3645.2599999999998
2021-04-29,-4071.8999999999996
2021-05-03,-4218.04
2021-05-04,-4825.8
2021-05-05,-5171.51
2021-05-06,-5062.76
2021-05-07,-5509.41
2021-05-10,-6092.99
2021-05-11,-6495.94
2021-05-14,-6316.62
2021-05-17,-6791.62
2021-05-18,-6973.8
2021-05-19,-7291.67
2021-05-20,-7618.76
2021-05-21,-7915.49
2021-05-24,-8612.119999999999
2021-05-25,-8617.64
2021-05-26,-8772.17
2021-05-27,-9264.98
2021-05-28,-10034.039999999999
2021-05-31,-10166.88
2021-06-01,-10287.019999999999
2021-06-03,-10706.729999999998
2021-06-04,-10696.209999999997
2021-06-07,-10437.229999999998
2021-06-08,-10881.709999999997
2021-06-09,-11671.109999999997
2021-06-10,-11474.989999999996
2021-06-11,-11966.179999999997
2021-06-14,-12030.569999999996
2021-06-15,-12797.769999999997
2021-06-16,-13131.629999999997
2021-06-17,-13031.769999999997
2021-06-18,-13305.599999999997
2021-06-22,-13615.649999999996
2021-06-24,-13827.149999999996
2021-06-25,-13938.589999999997
2021-06-28,-14247.899999999996
2021-06-29,-14622.659999999996
2021-06-30,-14697.919999999996
2021-07-01,-14791.409999999996
2021-07-02,-15227.239999999996
2021-07-05,-15296.889999999996
2021-07-06,-15586.589999999997
2021-07-08,-15557.929999999997
2021-07-09,-15505.859999999997
2021-07-12,-15566.729999999998
2021-07-13,-15742.849999999999
2021-07-14,-16007.319999999998
2021-07-15,-16231.919999999998
2021-07-16,-16312.269999999999
2021-07-20,-16603.53
2021-07-22,-16680.17
2021-07-23,-16793.589999999997
2021-07-26,-17263.92
2021-07-27,-17066.309999999998
2021-07-28,-17529.649999999998
2021-07-29,-16287.769999999999
2021-07-30,-17062.6
2021-08-02,-17105.41
2021-08-03,-17249.64
2021-08-04,-17184.53
2021-08-05,-17345.92
2021-08-06,-17447.339999999997
2021-08-09,-17806.399999999998
2021-08-10,-17949.109999999997
2021-08-11,-18215.559999999998
2021-08-12,-18331.159999999996
2021-08-13,-18754.409999999996
2021-08-16,-18888.739999999998
2021-08-17,-19022.749999999996
2021-08-18,-19281.449999999997
2021-08-20,-19366.429999999997
2021-08-23,-19745.199999999997
2021-08-24,-19139.889999999996
2021-08-25,-19549.699999999997
2021-08-26,-19733.639999999996
2021-08-27,-19880.869999999995
2021-08-30,-19968.049999999996
2021-08-31,-19500.649999999994
2021-09-01,-19960.259999999995
2021-09-02,-19686.729999999996
2021-09-03,-19788.579999999994
2021-09-06,-19672.719999999994
2021-09-07,-19949.929999999993
2021-09-08,-20430.979999999992
2021-09-09,-20930.709999999992
2021-09-13,-21094.769999999993
2021-09-14,-21411.659999999993
2021-09-15,-21821.129999999994
