date,symbol,direction,entry_price,exit_price,quantity,sl,target,pnl,pnl_pct,exit_reason,entry_time,exit_time,mode
2021-03-30,ADANIENT,LONG,985.7,1001.5,25,958.1,1027.1,305.32,1.239,EOD,2021-03-30 10:20:00+05:30,2021-03-30 15:15:00+05:30,backtest
2021-03-31,TATASTEEL,LONG,75.93,75.64,330,73.68,79.31,-185.72,-0.741,EOD,2021-03-31 09:40:00+05:30,2021-03-31 15:15:00+05:30,backtest
2021-03-31,APOLLOHOSP,LONG,2927.0,2903.7,8,2882.05,2994.42,-273.05,-1.166,EOD,2021-03-31 11:00:00+05:30,2021-03-31 15:15:00+05:30,backtest
2021-04-01,HINDALCO,LONG,335.75,346.7,74,328.45,346.7,719.8,2.897,TARGET,2021-04-01 10:10:00+05:30,2021-04-01 12:15:00+05:30,backtest
2021-04-01,BAJAJFINSV,LONG,980.0,969.35,25,969.35,995.97,-354.98,-1.449,SL,2021-04-01 10:15:00+05:30,2021-04-01 12:05:00+05:30,backtest
2021-04-05,DIVISLAB,LONG,3652.0,3603.0,6,3603.0,3725.5,-377.53,-1.723,SL,2021-04-05 09:40:00+05:30,2021-04-05 11:05:00+05:30,backtest
2021-04-06,ADANIPORTS,LONG,791.75,833.7,15,743.0,864.88,564.87,4.756,EOD,2021-04-06 10:50:00+05:30,2021-04-06 15:15:00+05:30,backtest
2021-04-06,SBILIFE,LONG,881.6,895.95,28,866.0,905.0,312.03,1.264,EOD,2021-04-06 09:50:00+05:30,2021-04-06 15:15:00+05:30,backtest
2021-04-08,NESTLEIND,LONG,876.5,885.0,28,866.4,891.65,148.68,0.606,EOD,2021-04-08 10:50:00+05:30,2021-04-08 15:15:00+05:30,backtest
2021-04-08,TITAN,LONG,1552.55,1572.2,16,1525.5,1593.12,224.4,0.903,EOD,2021-04-08 11:45:00+05:30,2021-04-08 15:15:00+05:30,backtest
2021-04-09,SBIN,LONG,363.8,353.0,60,351.25,382.62,-731.01,-3.349,EOD,2021-04-09 10:05:00+05:30,2021-04-09 15:15:00+05:30,backtest
2021-04-09,WIPRO,LONG,213.45,215.15,118,210.5,217.87,110.03,0.437,EOD,2021-04-09 11:45:00+05:30,2021-04-09 15:15:00+05:30,backtest
2021-04-12,DRREDDY,LONG,981.7,986.45,17,939.2,1045.45,7.29,0.044,EOD,2021-04-12 10:30:00+05:30,2021-04-12 15:15:00+05:30,backtest
2021-04-12,DIVISLAB,LONG,3809.05,3778.25,5,3677.0,4007.13,-231.94,-1.218,EOD,2021-04-12 10:15:00+05:30,2021-04-12 15:15:00+05:30,backtest
2021-04-13,TITAN,LONG,1547.0,1520.0,16,1520.0,1587.5,-521.07,-2.105,SL,2021-04-13 09:45:00+05:30,2021-04-13 12:25:00+05:30,backtest
2021-04-15,DIVISLAB,LONG,3808.75,3785.7,6,3710.85,3955.6,-223.87,-0.98,EOD,2021-04-15 10:45:00+05:30,2021-04-15 15:15:00+05:30,backtest
2021-04-16,ADANIPORTS,LONG,764.0,755.1,32,743.0,795.5,-373.41,-1.527,EOD,2021-04-16 09:50:00+05:30,2021-04-16 15:15:00+05:30,backtest
2021-04-16,BRITANNIA,SHORT,3678.0,3709.8,6,3709.8,3630.3,-275.13,-1.247,SL,2021-04-16 10:05:00+05:30,2021-04-16 11:15:00+05:30,backtest
2021-04-19,SUNPHARMA,LONG,649.75,636.85,38,636.85,669.1,-579.09,-2.345,SL,2021-04-19 09:35:00+05:30,2021-04-19 10:30:00+05:30,backtest
2021-04-19,DIVISLAB,LONG,3839.4,3806.75,6,3756.0,3964.5,-281.78,-1.223,EOD,2021-04-19 09:35:00+05:30,2021-04-19 15:15:00+05:30,backtest
2021-04-20,BRITANNIA,SHORT,3712.0,3737.8,6,3750.85,3653.73,-239.5,-1.075,EOD,2021-04-20 10:30:00+05:30,2021-04-20 15:15:00+05:30,backtest
2021-04-22,BRITANNIA,LONG,3748.6,3739.85,6,3692.15,3833.27,-137.43,-0.611,EOD,2021-04-22 11:15:00+05:30,2021-04-22 15:15:00+05:30,backtest
2021-04-23,APOLLOHOSP,LONG,3287.7,3224.7,7,3224.7,3382.2,-526.59,-2.288,SL,2021-04-23 09:35:00+05:30,2021-04-23 10:40:00+05:30,backtest
2021-04-23,BAJAJ-AUTO,LONG,3612.0,3569.0,6,3569.0,3676.5,-341.09,-1.574,SL,2021-04-23 11:15:00+05:30,2021-04-23 14:30:00+05:30,backtest
2021-04-26,BAJAJ-AUTO,LONG,3624.0,3641.5,6,3585.0,3682.5,21.41,0.098,EOD,2021-04-26 10:05:00+05:30,2021-04-26 15:15:00+05:30,backtest
2021-04-26,NESTLEIND,SHORT,835.6,843.5,28,843.5,823.75,-308.21,-1.317,SL,2021-04-26 10:50:00+05:30,2021-04-26 15:00:00+05:30,backtest
2021-04-27,TITAN,LONG,1501.95,1494.05,16,1482.25,1531.5,-214.34,-0.892,EOD,2021-04-27 10:00:00+05:30,2021-04-27 15:15:00+05:30,backtest
2021-04-27,TATASTEEL,LONG,90.05,91.95,267,88.78,91.95,420.04,1.747,TARGET,2021-04-27 09:35:00+05:30,2021-04-27 15:10:00+05:30,backtest
2021-04-28,TITAN,LONG,1512.1,1497.55,15,1497.55,1533.92,-303.39,-1.338,SL,2021-04-28 09:45:00+05:30,2021-04-28 10:20:00+05:30,backtest
2021-04-29,SUNPHARMA,LONG,650.75,644.6,37,641.2,665.07,-315.48,-1.31,EOD,2021-04-29 10:20:00+05:30,2021-04-29 15:15:00+05:30,backtest
2021-04-29,GRASIM,SHORT,1342.15,1343.65,17,1359.0,1316.88,-111.16,-0.487,EOD,2021-04-29 10:30:00+05:30,2021-04-29 15:15:00+05:30,backtest
2021-05-03,ADANIPORTS,LONG,755.7,761.6,17,714.95,816.83,34.51,0.269,EOD,2021-05-03 11:45:00+05:30,2021-05-03 15:15:00+05:30,backtest
2021-05-03,NESTLEIND,LONG,826.6,823.4,29,813.6,846.1,-180.65,-0.754,EOD,2021-05-03 11:20:00+05:30,2021-05-03 15:15:00+05:30,backtest
2021-05-04,SUNPHARMA,LONG,662.6,655.45,36,655.45,673.33,-344.85,-1.446,SL,2021-05-04 10:05:00+05:30,2021-05-04 10:50:00+05:30,backtest
2021-05-04,GRASIM,LONG,1421.5,1410.4,16,1400.05,1453.68,-262.91,-1.156,EOD,2021-05-04 11:20:00+05:30,2021-05-04 15:15:00+05:30,backtest
2021-05-05,KOTAKBANK,SHORT,346.0,349.8,68,349.8,340.3,-345.71,-1.469,SL,2021-05-05 10:00:00+05:30,2021-05-05 10:05:00+05:30,backtest
2021-05-06,HEROMOTOCO,LONG,2663.4,2701.5,8,2638.0,2701.5,221.88,1.041,TARGET,2021-05-06 09:35:00+05:30,2021-05-06 10:25:00+05:30,backtest
2021-05-06,HINDUNILVR,SHORT,2386.0,2389.35,9,2416.55,2340.17,-113.13,-0.527,EOD,2021-05-06 10:00:00+05:30,2021-05-06 15:15:00+05:30,backtest
2021-05-07,ADANIENT,LONG,1269.3,1259.7,18,1253.0,1293.75,-258.32,-1.131,EOD,2021-05-07 10:05:00+05:30,2021-05-07 15:15:00+05:30,backtest
2021-05-07,ITC,LONG,174.75,174.0,135,172.3,178.42,-188.33,-0.798,EOD,2021-05-07 10:35:00+05:30,2021-05-07 15:15:00+05:30,backtest
2021-05-10,SBIN,LONG,366.7,361.75,64,359.1,378.1,-403.42,-1.719,EOD,2021-05-10 10:15:00+05:30,2021-05-10 15:15:00+05:30,backtest
2021-05-10,SUNPHARMA,LONG,700.05,697.2,33,683.6,724.72,-180.16,-0.78,EOD,2021-05-10 11:30:00+05:30,2021-05-10 15:15:00+05:30,backtest
2021-05-11,ULTRACEMCO,LONG,6504.55,6493.0,3,6311.0,6794.88,-113.64,-0.582,EOD,2021-05-11 09:55:00+05:30,2021-05-11 15:15:00+05:30,backtest
