date,symbol,direction,entry_price,exit_price,quantity,sl,target,pnl,pnl_pct,exit_reason,entry_time,exit_time,mode
2023-04-06,ADANIENT,SHORT,1703.4,1736.35,14,1736.35,1671.07,-549.46,-2.304,SL,2023-04-06 11:10:00+05:30,2023-04-06 12:55:00+05:30,backtest
2023-04-28,ADANIENT,SHORT,1868.7,1842.27,13,1897.77,1840.08,255.34,1.051,TARGET,2023-04-28 10:35:00+05:30,2023-04-28 10:55:00+05:30,backtest
2023-05-22,ADANIPORTS,SHORT,747.3,733.05,33,765.98,729.07,381.24,1.546,TARGET,2023-05-22 11:05:00+05:30,2023-05-22 13:00:00+05:30,backtest
2023-05-22,ADANIENT,SHORT,2156.1,2242.7,11,2262.13,2055.04,-1040.99,-4.389,EOD,2023-05-22 11:05:00+05:30,2023-05-22 15:15:00+05:30,backtest
2023-05-24,ADANIENT,LONG,2392.9,2416.2,10,2279.26,2512.21,144.91,0.606,EOD,2023-05-24 12:05:00+05:30,2023-05-24 15:15:00+05:30,backtest
2023-05-31,ADANIENT,SHORT,2475.5,2432.48,10,2532.75,2419.54,341.12,1.378,TARGET,2023-05-31 11:25:00+05:30,2023-05-31 13:15:00+05:30,backtest
2023-06-02,ADANIENT,LONG,2373.8,2389.44,10,2334.49,2413.77,68.73,0.29,TARGET,2023-06-02 12:50:00+05:30,2023-06-02 14:10:00+05:30,backtest
2023-06-08,ADANIENT,LONG,2328.8,2356.75,10,2292.09,2366.09,192.66,0.827,TARGET,2023-06-08 11:35:00+05:30,2023-06-08 13:45:00+05:30,backtest
2023-08-18,ADANIENT,SHORT,2535.2,2479.66,9,2601.13,2470.94,414.71,1.818,TARGET,2023-08-18 12:05:00+05:30,2023-08-18 13:05:00+05:30,backtest
2023-08-18,ADANIPORTS,SHORT,841.55,829.06,29,855.95,827.4,273.67,1.121,TARGET,2023-08-18 12:05:00+05:30,2023-08-18 13:00:00+05:30,backtest
2023-08-28,ADANIENT,LONG,2401.5,2402.4,10,2360.0,2443.73,-79.04,-0.329,EOD,2023-08-28 10:45:00+05:30,2023-08-28 15:15:00+05:30,backtest
2023-09-11,ADANIPORTS,SHORT,879.65,881.5,28,897.71,861.96,-141.11,-0.573,EOD,2023-09-11 12:10:00+05:30,2023-09-11 15:15:00+05:30,backtest
2023-09-12,M&M,LONG,1526.7,1544.36,16,1499.6,1554.29,193.48,0.792,TARGET,2023-09-12 12:20:00+05:30,2023-09-12 13:15:00+05:30,backtest
2023-10-04,ADANIENT,SHORT,2412.1,2372.75,10,2458.54,2366.53,305.62,1.267,TARGET,2023-10-04 11:20:00+05:30,2023-10-04 11:55:00+05:30,backtest
2023-11-07,DIVISLAB,SHORT,3542.95,3492.37,7,3598.7,3488.06,264.82,1.068,TARGET,2023-11-07 11:20:00+05:30,2023-11-07 12:00:00+05:30,backtest
2023-11-23,CIPLA,LONG,1193.15,1172.72,21,1172.72,1213.94,-518.71,-2.07,SL,2023-11-23 11:30:00+05:30,2023-11-23 14:35:00+05:30,backtest
2023-11-28,ADANIENT,SHORT,2394.2,2358.8,10,2464.28,2326.11,266.47,1.113,EOD,2023-11-28 11:45:00+05:30,2023-11-28 15:15:00+05:30,backtest
2023-11-28,ADANIPORTS,SHORT,844.4,836.06,29,860.16,828.93,153.13,0.625,TARGET,2023-11-28 11:30:00+05:30,2023-11-28 13:30:00+05:30,backtest
2023-12-05,ADANIENT,SHORT,2674.2,2735.79,9,2735.79,2614.0,-643.0,-2.672,SL,2023-12-05 10:55:00+05:30,2023-12-05 11:10:00+05:30,backtest
2023-12-21,APOLLOHOSP,SHORT,5522.0,5469.0,4,5614.66,5430.87,128.04,0.58,EOD,2023-12-21 11:55:00+05:30,2023-12-21 15:15:00+05:30,backtest
2023-12-26,WIPRO,SHORT,224.6,224.8,111,229.31,219.99,-112.08,-0.45,EOD,2023-12-26 10:40:00+05:30,2023-12-26 15:15:00+05:30,backtest
2024-01-25,ADANIENT,LONG,2739.3,2762.95,9,2694.9,2784.43,123.32,0.5,TARGET,2024-01-25 11:00:00+05:30,2024-01-25 13:40:00+05:30,backtest
2024-02-08,SBIN,SHORT,708.95,698.01,35,720.82,697.28,293.69,1.184,TARGET,2024-02-08 10:50:00+05:30,2024-02-08 11:00:00+05:30,backtest
2024-04-01,M&M,LONG,1901.55,1930.03,13,1872.03,1931.53,280.46,1.135,TARGET,2024-04-01 11:05:00+05:30,2024-04-01 11:20:00+05:30,backtest
2024-04-29,APOLLOHOSP,SHORT,5989.0,5966.4,4,6089.63,5890.04,2.58,0.011,EOD,2024-04-29 12:35:00+05:30,2024-04-29 15:15:00+05:30,backtest
2024-05-29,HINDALCO,SHORT,708.9,706.45,35,721.37,696.65,-3.79,-0.015,EOD,2024-05-29 12:45:00+05:30,2024-05-29 15:15:00+05:30,backtest
2024-06-04,TATASTEEL,LONG,142.62,153.96,129,130.96,155.31,1384.01,7.523,TARGET,2024-06-04 12:45:00+05:30,2024-06-04 13:25:00+05:30,backtest
2024-06-04,HCLTECH,LONG,1271.3,1298.55,19,1242.82,1300.44,428.83,1.775,TARGET,2024-06-04 12:30:00+05:30,2024-06-04 12:50:00+05:30,backtest
2024-07-23,LT,LONG,3485.0,3540.05,7,3361.5,3613.04,296.17,1.214,EOD,2024-07-23 12:25:00+05:30,2024-07-23 15:15:00+05:30,backtest
2024-07-26,ADANIENT,SHORT,2999.1,2988.9,8,3047.69,2951.29,-6.3,-0.026,EOD,2024-07-26 12:50:00+05:30,2024-07-26 15:15:00+05:30,backtest
2024-08-05,TECHM,LONG,1408.3,1426.58,18,1383.89,1433.15,238.09,0.939,TARGET,2024-08-05 11:25:00+05:30,2024-08-05 13:15:00+05:30,backtest
2024-08-05,SBIN,LONG,807.3,812.1,31,794.18,820.64,58.6,0.234,EOD,2024-08-05 11:25:00+05:30,2024-08-05 15:15:00+05:30,backtest
2024-12-03,ADANIPORTS,SHORT,1294.0,1290.15,19,1318.0,1270.44,-15.95,-0.065,EOD,2024-12-03 11:50:00+05:30,2024-12-03 15:15:00+05:30,backtest
2024-12-30,ADANIENT,SHORT,2479.6,2512.9,10,2523.17,2436.78,-422.93,-1.706,EOD,2024-12-30 12:10:00+05:30,2024-12-30 15:15:00+05:30,backtest
